2026-07-27 14:55:05.873 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 14056 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 14:55:05.903 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 14:55:10.594 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 5.839 seconds (process running for 7.195)
2026-07-27 14:58:33.861 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 14056 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 14:58:33.861 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 14:58:34.405 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.572 seconds (process running for 211.006)
2026-07-27 15:00:43.485 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 14056 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 15:00:43.486 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 15:00:43.918 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.471 seconds (process running for 340.519)
2026-07-27 15:01:04.901 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 14056 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 15:01:04.902 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 15:01:05.785 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.943 seconds (process running for 362.386)
2026-07-27 15:01:32.641 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 7208 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 15:01:32.643 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 15:01:36.794 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 4.925 seconds (process running for 5.457)
2026-07-27 15:01:56.680 [tomcat-handler-0] INFO  c.project.service.ZadanieServiceImpl.getZadania:107 - REQUEST -> GET /api/zadania?page=0&size=10&sort=
2026-07-27 15:01:59.486 [tomcat-handler-1] INFO  c.project.service.ZadanieServiceImpl.getZadania:107 - REQUEST -> GET /api/zadania?page=0&size=10&sort=
2026-07-27 15:02:02.600 [tomcat-handler-2] INFO  c.project.service.ZadanieServiceImpl.getZadania:107 - REQUEST -> GET /api/zadania?page=0&size=10&sort=
2026-07-27 15:06:44.046 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 7208 (C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app-zadanie-dodatkowe)
2026-07-27 15:06:44.046 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
