2026-07-27 01:05:57.778 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 7704 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:05:57.788 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:05:59.711 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.585 seconds (process running for 3.339)
2026-07-27 01:08:47.883 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 10432 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:08:47.886 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:08:49.719 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.464 seconds (process running for 3.026)
2026-07-27 01:14:23.286 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 10432 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:14:23.287 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:14:23.667 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.419 seconds (process running for 336.973)
2026-07-27 01:14:50.706 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 10432 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:14:50.707 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:14:50.988 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.314 seconds (process running for 364.295)
2026-07-27 01:15:24.821 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 10284 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:15:24.822 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:15:27.337 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 3.158 seconds (process running for 3.733)
2026-07-27 01:15:42.201 [tomcat-handler-0] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:19:28.918 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 10284 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:19:28.919 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:19:29.302 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.418 seconds (process running for 245.7)
2026-07-27 01:19:44.353 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 25272 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:19:44.355 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:19:46.379 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.688 seconds (process running for 3.316)
2026-07-27 01:19:53.652 [tomcat-handler-0] INFO  c.project.service.ProjektServiceImpl.getProjekty:111 - REQUEST -> GET /api/projekty?page=0&size=10&sort=
2026-07-27 01:25:32.282 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 25272 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:25:32.282 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:25:32.682 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.44 seconds (process running for 349.619)
2026-07-27 01:25:44.959 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 20584 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:25:44.960 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:25:47.208 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 2.87 seconds (process running for 3.434)
2026-07-27 01:26:03.997 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 20584 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:26:03.998 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
2026-07-27 01:26:04.441 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarted:60 - Started ProjectWebAppApplication in 0.483 seconds (process running for 20.668)
2026-07-27 01:26:12.271 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStarting:54 - Starting ProjectWebAppApplication using Java 21.0.4 with PID 26316 (C:\Users\jziol\ZPO\workspace\project-web-app\bin\main started by kziolkowski in C:\Users\jziol\ZPO\workspace\project-web-app)
2026-07-27 01:26:12.274 [restartedMain] INFO  c.project.ProjectWebAppApplication.logStartupProfileInfo:652 - No active profile set, falling back to 1 default profile: "default"
